,curve_date,curve_num,curve_name,dH,dH_std,Tm,Tm_std,fmax,fmax_std,fmin,fmin_std,s1,s1_std,s2,s2_std,rmse,celsius_min,celsius_max,data_file,blank,pass_qc,SEQID,conc_uM,Na_mM,Cuvette,dG_37,dS
22111521_6_TertiaryCoolingCurve,22111521,6,TertiaryCoolingCurve,-37.447432119912975,0.2926878453853928,52.54001380291498,0.09871785308249371,0.09298517245857599,0.0017794633684754858,0.008894848143303671,6.42153071606592e-05,0.00028018980016542017,3.6087179259078423e-06,-0.0002207129544271602,2.4130557265154277e-05,0.00013217441286865592,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/6_TertiaryCoolingCurve.csv,,True,MMCNN151,9.0,25.0,ECL micro cuvette,-1.786771431006527,-0.11497875443787345
22111521_3_SecondaryMeltingCurve,22111521,3,SecondaryMeltingCurve,-33.066420092483924,0.31589246220490586,56.44380909503081,0.31162162035327895,0.01000000003645008,0.0026664989830905094,0.009791097920054823,0.00011698398566687066,0.000153115491072775,6.317151323628714e-06,0.0016746810770853493,9.42423177789751e-05,0.00024937444074368885,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/3_SecondaryMeltingCurve.csv,,True,MMCNN88,9.0,25.0,ECL micro cuvette,-1.9506954984975835,-0.10032476090274493
22111521_2_TertiaryCoolingCurve,22111521,2,TertiaryCoolingCurve,-36.51726818777666,0.37442310429947806,51.042901921200006,0.11376030697687466,0.21130731716604556,0.004598272320262962,0.007973957340124307,0.0002200999990750313,0.0004261464185666419,1.2968056173380819e-05,-0.0008012268598416306,6.223603830654222e-05,0.0004390852962013849,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/2_TertiaryCoolingCurve.csv,,True,MMCNN70,9.0,25.0,ECL micro cuvette,-1.5818002570449552,-0.11264055434703113
22111521_4_SecondaryMeltingCurve,22111521,4,SecondaryMeltingCurve,-36.14439834046768,1.596484318758861,54.45530516832366,0.9512172021900881,0.010000000109795034,0.016363420076878375,0.010618301114365084,0.0008205561754586208,0.00029689817325051493,4.243016723889574e-05,0.00270260543482026,0.00047251359731048507,0.0017905692958283454,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/4_SecondaryMeltingCurve.csv,,True,MMCNN112,9.0,25.0,ECL micro cuvette,-1.925828102307906,-0.11032909959103589
22111521_7_MeltingCurve,22111521,7,MeltingCurve,-45.19460527749478,1.0469184364281243,52.948093618707205,0.260658765933001,0.018605684558813763,0.00933346795587572,0.009905092597923756,0.0003386678740562364,0.00035749883717617337,1.5741690260752162e-05,0.0020555992395836498,0.00012631722498588675,0.0007918156216209027,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/7_MeltingCurve.csv,,True,MMCNN164,9.0,25.0,ECL micro cuvette,-2.2102790851294265,-0.1385920560772702
22111521_1_SecondaryCoolingCurve,22111521,1,SecondaryCoolingCurve,-39.5708257812517,0.7300880901560718,48.16041021198438,0.15911850392079935,0.1360535937056939,0.0051820071927322735,0.008460577528827284,0.0003626857346657524,0.0005634556401494795,2.109973182452911e-05,0.000308698774311722,7.182796536757349e-05,0.000723503831920782,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/1_SecondaryCoolingCurve.csv,,True,MMCNN20,9.0,25.0,ECL micro cuvette,-1.3744548390273812,-0.12315450892221286
22111521_2_CoolingCurve,22111521,2,CoolingCurve,-39.95978099682401,0.3105135667696243,50.28683522689446,0.07802516313738618,0.1691453845970115,0.0031819640325212264,0.009416629463487161,0.0001595371094505489,0.0002117136738919445,8.860478155076109e-06,-0.0003487616092652246,4.397266736224095e-05,0.0003292046175300287,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/2_CoolingCurve.csv,,True,MMCNN70,9.0,25.0,ECL micro cuvette,-1.6415539851394174,-0.12354740290725325
22111521_1_TertiaryMeltingCurve,22111521,1,TertiaryMeltingCurve,-41.05946559983731,0.5482674218117548,48.11146504377917,0.12921560437703455,0.010000000020178342,0.004681994448369961,0.00723159760622237,0.0002060576535747829,0.0006746986053223214,1.104981808597643e-05,0.00251707455115735,4.733832756101193e-05,0.00043407766022999237,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/1_TertiaryMeltingCurve.csv,,True,MMCNN20,9.0,25.0,ECL micro cuvette,-1.4201230660100275,-0.1278070047842247
22111521_4_TertiaryCoolingCurve,22111521,4,TertiaryCoolingCurve,-36.187169130708014,0.4935261034786795,53.768138979673765,0.20255538239437787,0.19453193348537826,0.009732329078932475,0.008993781327543568,0.0002972071315284348,0.0005221456254007606,1.6429399666556413e-05,5.548162313573357e-05,0.0001286577366461333,0.0006204832658999456,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/4_TertiaryCoolingCurve.csv,,True,MMCNN112,9.0,25.0,ECL micro cuvette,-1.8560960953665535,-0.11069183632223589
22111521_1_CoolingCurve,22111521,1,CoolingCurve,-43.666036849565366,0.7518469742703958,47.474740197609904,0.12584543917409866,0.11650864517028524,0.003967697841031698,0.009412991232763943,0.0003281395587403202,0.00037628451029303456,1.8098478333270368e-05,0.0003612158120667175,5.593959213573804e-05,0.000676755691841094,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/1_CoolingCurve.csv,,True,MMCNN20,9.0,25.0,ECL micro cuvette,-1.4265598817376202,-0.1361904786968491
