"Name","Tm_mae","dH_mae","train_rmse","test_rmse","n_parameters","Runtime","State","batch_size","graphconv_dropout","hidden_channels","learning_rate","linear_dropout","linear_hidden_channels","n_epoch","n_graphconv_layer","n_linear_layer","processing_steps","concat","dataset","params","norm_method","epochs","architecture","n_processing","pooling","mode","Tm_rmse","dH_rmse"
"warm-voice-43","2.3427806657752677","3.608416259106298","0.2829956172130423","0.6434910178132358","282242","494","finished","3051","0.02","64","0.007","0.5","[256]","400","2","1","5","true","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","3.293534025306572","4.796979913083769"
"mild-sponge-36","1.851270627414636","3.0956425853285596","0.3410627478040059","0.5517958146994005","212036","561","finished","2048","0.02","99","0.007","0.5","[256]","400","6","1","5","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.6266492090597477","4.129028618241594"
"lilac-terrain-35","2.0936249541403087","3.07153947100925","0.4277315764991817","0.5673750012772439","129176","349","finished","2048","0.02","81","0.008","0.5","[128]","250","7","1","10","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.9614447049358663","4.089383973946592"
"silvery-sweep-20","2.322263201202857","3.7490369511656607","0.18014315696365268","0.6525790672999087","270216","457","finished","3151","0.00747307524620653","121","0.00969316702662862","0.33418391166838235","[128]","400","2","1","7","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","3.2768396464776837","5.0144951904456"
"twilight-sweep-19","2.0196776090182453","3.2462491626792684","0.27279996614857865","0.5635832529074108","95090","551","finished","512","0.015289177645858028","72","0.0074098784158146466","0.12168345243010548","[64]","400","5","1","6","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.8008098480119923","4.324238419713766"
"polished-sweep-14","2.271213923970813","3.2191099051814844","0.5403087179125562","0.6054785610675696","51362","423","finished","3151","0.016241771322546637","48","0.005009386800287733","0.4592841746395541","[128]","400","7","1","5","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","3.0641981890790677","4.2950442653768865"
"amber-sweep-13","1.9847228102911096","2.982474301074044","0.37138222857382935","0.5432697522377923","129176","518","finished","2048","0.015065036434343294","81","0.006225664122131872","0.4975846651216118","[128]","400","7","1","7","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.8040047449490295","4.009753617278722"
"dandy-sweep-12","1.8989147574817011","3.104523319074693","0.3465597389325867","0.5511877900615427","186308","559","finished","2048","0.018490902925764555","99","0.008229360793098559","0.4342708505038754","[128]","400","7","1","7","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.639370537788623","4.145990296036525"
"vibrant-sweep-11","1.929370196553141","3.0713588381582797","0.35884957105460547","0.5693457072075804","193296","603","finished","1024","0.01383641092033326","101","0.006889908264786776","0.4695197478746881","[128]","400","8","1","6","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.6637185478041125","4.126924959256998"
"wild-sweep-10","1.8707257358489284","3.1076130704697356","0.2969329583198286","0.5602675716540853","186308","483","finished","2048","0.01931838658917254","99","0.006839907896567572","0.346007616176138","[128]","400","5","1","5","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.6941018106488372","4.237627334160447"
"zany-sweep-8","1.9323662808357704","3.086645852487849","0.34579046322797","0.5576575162228564","112436","445","finished","2048","0.01851459875906396","75","0.007245277763977038","0.48096853998194616","[128]","400","5","1","5","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.760385188358166","4.172829481536612"
"wobbly-sweep-7","1.9721960370271991","3.0304977244705342","0.36182895691013184","0.5515082261477479","211326","563","finished","2048","0.015343231525727242","106","0.008424104776051948","0.4926360911626032","[128]","400","7","1","6","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.7471919584118876","4.0771471749009285"
